Section,Index,Question,Answer
c_1,10,"特定の集団や属性に対して、多くの人が持っている固定的なイメージを何というか？","ステレオタイプ"
c_1,13,"日本の伝統的な文化財のうち、演劇や音楽などの形のないものを何というか？","無形文化財"
c_1,14,"異なる文化を持つ人々が、互いの文化を尊重し合い、対等な関係を築くことを何というか？","異文化理解"
c_1,15,"テレビや新聞など、大量の情報を不特定多数の人々に伝達する手段を何というか？","マスメディア"
c_1,17,"人間の知的創作活動によって生み出されたものを、創作者が独占的に利用できる権利は？","知的財産権"
c_1,19,"新しい技術や発明をした人に与えられる、一定期間その発明を独占できる権利は？","特許権"
c_1,21,"七五三や成人式のように、人生の区切りに行われる儀式を何というか？","通過儀礼"
c_1,24,"地域住民が親睦を深め、住みよい地域を作るために自主的に組織する団体は？","町内会・自治会"
c_1,25,"異なる文化が接触したときに生じる、誤解や対立を何というか？","文化摩擦"
c_1,26,"食料自給率の低下や、輸入食品の安全性などが問題となっている、食に関する課題を何というか？","食の安全・安心"
c_2,1,"日本国憲法において、主権は誰にあるとされているか？","国民"
c_2,4,"日本国憲法第25条で、「健康で文化的な最低限度の生活を営む権利」と規定されている権利は？","生存権"
c_2,5,"自由に考え、意見を発表したり、集会を開いたりする自由を何というか？","表現の自由"
c_2,6,"不当に逮捕されたり、拘束されたりしない自由を何というか？","身体の自由"
c_2,10,"1957年、生活保護の基準が低すぎるとして、生存権の侵害を訴えた裁判は？","朝日訴訟"
c_2,11,"プライバシーの権利が侵害されたとして争われた、三島由紀夫の小説をめぐる事件は？","「宴のあと」事件"
c_2,12,"マスメディアに対して、自分の意見を発表する場（反論記事など）の提供を求める権利は？","アクセス権"
c_2,13,"医療現場などで、患者が医師から十分な説明を受け、納得した上で治療に同意することを何というか？","インフォームド・コンセント"
c_2,14,"1948年、国連で採択された、世界中のすべての人々が達成すべき人権の基準は？","世界人権宣言"
c_2,16,"18歳未満のすべての人の権利（生きる権利、守られる権利など）を定める条約は？","子どもの権利条約"
